	04003186.kraken.report_bracken_species	04014599.kraken.report_bracken_species	04018722.kraken.report_bracken_species	04023356.kraken.report_bracken_species	04023518.kraken.report_bracken_species	04024973.kraken.report_bracken_species	04031150.kraken.report_bracken_species	04037900.kraken.report_bracken_species	04038716.kraken.report_bracken_species	04046046.kraken.report_bracken_species	04063256.kraken.report_bracken_species	04068115.kraken.report_bracken_species	04069861.kraken.report_bracken_species	04075146.kraken.report_bracken_species	04077278.kraken.report_bracken_species	04079838.kraken.report_bracken_species	04082908.kraken.report_bracken_species	04085946.kraken.report_bracken_species	04086520.kraken.report_bracken_species	04099876.kraken.report_bracken_species	04118811.kraken.report_bracken_species	04122111.kraken.report_bracken_species	04132471.kraken.report_bracken_species	04148641.kraken.report_bracken_species	04159942.kraken.report_bracken_species	04167474.kraken.report_bracken_species	04168812.kraken.report_bracken_species	04178089.kraken.report_bracken_species	04182411.kraken.report_bracken_species	04205458.kraken.report_bracken_species	04214331.kraken.report_bracken_species	04219292.kraken.report_bracken_species	04220119.kraken.report_bracken_species	04220600.kraken.report_bracken_species	04221556.kraken.report_bracken_species	04221943.kraken.report_bracken_species	04222003.kraken.report_bracken_species	04225155.kraken.report_bracken_species	04225432.kraken.report_bracken_species	04226995.kraken.report_bracken_species	04236917.kraken.report_bracken_species	04241347.kraken.report_bracken_species	04251349.kraken.report_bracken_species	04253668.kraken.report_bracken_species	04253936.kraken.report_bracken_species	04258894.kraken.report_bracken_species	04260238.kraken.report_bracken_species	04272955.kraken.report_bracken_species	04276274.kraken.report_bracken_species	04277092.kraken.report_bracken_species	04287603.kraken.report_bracken_species	04288878.kraken.report_bracken_species	04289518.kraken.report_bracken_species	04297512.kraken.report_bracken_species	04300201.kraken.report_bracken_species	04308139.kraken.report_bracken_species	04308973.kraken.report_bracken_species	04309311.kraken.report_bracken_species	04317291.kraken.report_bracken_species	04324931.kraken.report_bracken_species	04334129.kraken.report_bracken_species	04343001.kraken.report_bracken_species	04348603.kraken.report_bracken_species	04349732.kraken.report_bracken_species	04358531.kraken.report_bracken_species	04365141.kraken.report_bracken_species	04369157.kraken.report_bracken_species	04375131.kraken.report_bracken_species	04376417.kraken.report_bracken_species	04377895.kraken.report_bracken_species	04395079.kraken.report_bracken_species	04395966.kraken.report_bracken_species	04404154.kraken.report_bracken_species	04411609.kraken.report_bracken_species	04412786.kraken.report_bracken_species	04420190.kraken.report_bracken_species	04421441.kraken.report_bracken_species	04432209.kraken.report_bracken_species	04435618.kraken.report_bracken_species	04442713.kraken.report_bracken_species	04447772.kraken.report_bracken_species	04473311.kraken.report_bracken_species	04490447.kraken.report_bracken_species	04490971.kraken.report_bracken_species	04496787.kraken.report_bracken_species	04519622.kraken.report_bracken_species	04524799.kraken.report_bracken_species	04535549.kraken.report_bracken_species	04540284.kraken.report_bracken_species	04544177.kraken.report_bracken_species	04545616.kraken.report_bracken_species	04547392.kraken.report_bracken_species	04554614.kraken.report_bracken_species	04558599.kraken.report_bracken_species	04561334.kraken.report_bracken_species	04591234.kraken.report_bracken_species	04596228.kraken.report_bracken_species	04598494.kraken.report_bracken_species	04605581.kraken.report_bracken_species	04612165.kraken.report_bracken_species	04613195.kraken.report_bracken_species	04627490.kraken.report_bracken_species	04628434.kraken.report_bracken_species	04628962.kraken.report_bracken_species	04646821.kraken.report_bracken_species	04676011.kraken.report_bracken_species	04713011.kraken.report_bracken_species	04729044.kraken.report_bracken_species	04746461.kraken.report_bracken_species	04755264.kraken.report_bracken_species	04766112.kraken.report_bracken_species	04769418.kraken.report_bracken_species	04772056.kraken.report_bracken_species	04774937.kraken.report_bracken_species	04775318.kraken.report_bracken_species	04776184.kraken.report_bracken_species	04785218.kraken.report_bracken_species	04785256.kraken.report_bracken_species	04797503.kraken.report_bracken_species
216816	46781	3501	613	17029	2425	1228	1534	9838	11379	11772	22361	35	823	29306	3796	2492	941	18805	248	8268	26	5970	3864	3724	6620	52	703	19918	135	13666	8457	11060	2757	2523	2259	1257	12123	4807	12039	3007	19501	411	1515	152	129	37	15701	8408	3216	578	6344	311	5522	4460	207	1507	6747	5164	9083	37265	1814	1895	1802	53	3679	3478	993	27025	12799	384	1284	80	1110	6445	17703	11486	9811	13568	282	4630	4733	3262	50875	27779	179	11	47588	50783	3566	783	8077	12834	25	2875	4118	1126	72	5034	5182	1144	18201	2	254	18	7667	5190	2023	3041	418	468	18493	22538	8	3095	7801	868	7135	16860	388
28026	5353	244	1148	319	73	44	10	3918	138	131	11	0	163	3846	82	7	687	4906	44	1009	0	203	23	129	2	7	50	30	12	541	671	590	96	705	576	9	8	565	1937	328	15	1	86	13	10	5	105	327	953	193	212	5727	3517	1071	602	11	17	0	6	1055	115	78	1695	30	655	390	69	687	268	29	160	40	7434	9868	5259	6473	10	1740	8	2548	17	2	2	1	58	3	0	17	1	26	3127	507	4	309	8	17	48	8406	7774	133	1604	1	33	1	84	1	2268	3	2	188	5	83	0	82	1097	17013	1154	4418	9
1680	4528	5528	140	27776	5285	15379	2268	5571	63627	58460	22	2	249	147	52155	14057	105	1005	1574	19447	12	22	14890	11043	37	59	9369	20	2552	54505	63	9823	5347	3385	52	62	13	96	9189	42	62	3409	12995	1969	3	15	8836	58	17729	15069	45	163	469	5627	84	24440	11	23	19	213	7002	4467	2333	49	112	9362	5649	19827	28681	29	2878	44817	2583	866	675	195	54	27456	3379	233	17247	3	252	43	2762	13	24	399	16	2796	190	57	10	22646	30	6369	2164	6457	1117	42	110	130	619	7	26307	12	90	7493	9	8313	146	55	2	12141	145	933	100	416	1628
1686	1919	539	589	1876	55	40	9	1251	846	388	11	13	45	921	209	141	900	1538	20	359	5	107	22	167	4	7	49	5	22	616	223	625	49	228	126	7	3	150	14845	266	13	25	76	40	6	3	238	117	448	201	326	1367	1040	781	262	132	17	2	12	614	852	36	604	16	292	281	53	327	564	17	47	89	1672	2074	1793	1732	8	686	13	573	182	2	13	17	16	2	31	65	1	51	1130	144	21	557	6	23	35	3650	1084	83	500	0	25	3	296	0	688	53	17	125	64	84	0	61	664	3423	551	816	29
1685	681	156	100	453	92	68	60	200	246	191	252	1065	70	1762	153	52	182	303	27	449	22	83	54	115	130	31	80	234	40	485	280	282	62	161	139	44	609	96	884	281	53	34	87	45	45	28	478	75	224	54	147	301	277	564	215	181	1746	159	95	492	70	92	445	60	132	65	42	394	234	44	42	37	457	471	2473	505	193	490	24	395	28	84	771	6312	25	98	591	2368	88	32	333	220	56	156	109	46	30	1912	62	100	353	1	119	163	169	2593	73	97	125	68	213	204	2	80	176	378	200	344	26
1689	331	0	0	40	0	23	0	5514	72	29	2	0	753	0	0	14	240	1302	0	37	0	287	0	11	3	3	0	0	0	30	0	0	0	13	0	0	0	0	0	0	4242	104	14	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	8	0	0	35	0	0	0	21	12	163	89	25	0	26	0	134	0	0	2867	5447	0	0	0	473	0	0	0	12	0	0	0	0	0	32	76	0	8	0	0	0	0	0	0	0	0	0	21261	0	0	0	0	27	0	0	0
1681	378	96	50	2977	733	1931	38	2717	334	5322	6401	1	18	7016	1608	15	461	10275	46	2518	12	3	40	1543	7	11	235	25	26	7885	2353	96	1839	39	13	24	10	68	8132	1741	13	22	67	17	650	13	128	343	60	29	26	23	56	55	14	1808	4939	710	3718	24	134	33	38	396	776	19	1015	4117	52	4	27	15	250	228	106	430	7	139	16	61	36	5	19	3956	17	1	4	29	5	1861	110	1045	2	51	1965	143	8	5158	377	21	9584	4	26	1	59	2056	53	58	22	20	64	41	1	35	115	11450	58	4707	504
1683	113	16	15	132	18	51	16	37	494	70	6	0	9	53	129	34	36	30	8	18	1	1	17	39	0	13	23	8	14	58	64	47	16	20	5	9	5	10	171	1	3	7	16	10	2	1	34	4	54	20	23	31	22	21	6	19	1	0	7	9	20	12	38	10	7	27	16	67	364	2	16	38	64	147	120	109	4	58	10	19	12	0	3	1	5	2	1	11	0	22	41	5	1	31	0	24	10	59	33	3	43	1	8	2	42	5	25	24	2	14	2	9	0	24	10	161	10	58	15
158787	12	1	0	24	3	3	9	3	5	12	7	0	5	7	1	3	3	4	4	9	4	0	3	6	5	6	12	2	2	9	6	3	7	5	7	5	6	7	23	4	2	4	6	4	2	3	4	3	4	4	3	3	0	2	4	3	1	1	11	4	2	4	4	0	4	3	7	36	5	4	5	4	10	5	6	4	5	4	2	1	0	0	10	5	7	1	3	10	12	4	11	0	0	2	3	3	6	9	1	0	11	0	2	0	7	1	3	5	0	14	3	3	0	5	4	13	2	3	7
28025	3	0	2	152	4	10	2	5	9	320	6	0	3	5	22	51	1	856	3	2155	2	0	3	2	47	7	59	2	4	23	6	12	4	497	4277	51	4	11	21	6	1	7	1	2	2	1	219	1	29	1	2	8	2	26	2	4	14	4	38	321	5	6	2	2	35	7	17	8	12	2	2	7	66	6	61	13	1538	4	2	3	1	0	8	1	7	1	1	2	4	24	9290	3	1	9	4	4	4	11	14	1	9	0	1	2380	7	0	17	6	17	9	5	1	52	6	4	3468	3	4	3
