	04014840.kraken.report_bracken_species	04015056.kraken.report_bracken_species	04018722.kraken.report_bracken_species	04018976.kraken.report_bracken_species	04020990.kraken.report_bracken_species	04023356.kraken.report_bracken_species	04024973.kraken.report_bracken_species	04031150.kraken.report_bracken_species	04033272.kraken.report_bracken_species	04034632.kraken.report_bracken_species	04041708.kraken.report_bracken_species	04046046.kraken.report_bracken_species	04049752.kraken.report_bracken_species	04055903.kraken.report_bracken_species	04059040.kraken.report_bracken_species	04060220.kraken.report_bracken_species	04063649.kraken.report_bracken_species	04064408.kraken.report_bracken_species	04065498.kraken.report_bracken_species	04070489.kraken.report_bracken_species	04077278.kraken.report_bracken_species	04079009.kraken.report_bracken_species	04079730.kraken.report_bracken_species	04081544.kraken.report_bracken_species	04083753.kraken.report_bracken_species	04086190.kraken.report_bracken_species	04086520.kraken.report_bracken_species	04093064.kraken.report_bracken_species	04093667.kraken.report_bracken_species	04093699.kraken.report_bracken_species	04095505.kraken.report_bracken_species	04108045.kraken.report_bracken_species	04110853.kraken.report_bracken_species	04113498.kraken.report_bracken_species	04115005.kraken.report_bracken_species	04120625.kraken.report_bracken_species	04122037.kraken.report_bracken_species	04123039.kraken.report_bracken_species	04124276.kraken.report_bracken_species	04127261.kraken.report_bracken_species	04132471.kraken.report_bracken_species	04132760.kraken.report_bracken_species	04134309.kraken.report_bracken_species	04139425.kraken.report_bracken_species	04146251.kraken.report_bracken_species	04148641.kraken.report_bracken_species	04159942.kraken.report_bracken_species	04160993.kraken.report_bracken_species	04170024.kraken.report_bracken_species	04173387.kraken.report_bracken_species	04174611.kraken.report_bracken_species	04175250.kraken.report_bracken_species	04182138.kraken.report_bracken_species	04182411.kraken.report_bracken_species	04189223.kraken.report_bracken_species	04196545.kraken.report_bracken_species	04203741.kraken.report_bracken_species	04211592.kraken.report_bracken_species	04214331.kraken.report_bracken_species	04217353.kraken.report_bracken_species	04220119.kraken.report_bracken_species	04221556.kraken.report_bracken_species	04221943.kraken.report_bracken_species	04225155.kraken.report_bracken_species	04225904.kraken.report_bracken_species	04226995.kraken.report_bracken_species	04234335.kraken.report_bracken_species	04236180.kraken.report_bracken_species	04240379.kraken.report_bracken_species	04250770.kraken.report_bracken_species	04251349.kraken.report_bracken_species	04253668.kraken.report_bracken_species	04254586.kraken.report_bracken_species	04254690.kraken.report_bracken_species	04268429.kraken.report_bracken_species	04272955.kraken.report_bracken_species	04275726.kraken.report_bracken_species	04276274.kraken.report_bracken_species	04277092.kraken.report_bracken_species	04277312.kraken.report_bracken_species	04284440.kraken.report_bracken_species	04290232.kraken.report_bracken_species	04294912.kraken.report_bracken_species	04296227.kraken.report_bracken_species	04297483.kraken.report_bracken_species	04299801.kraken.report_bracken_species	04300201.kraken.report_bracken_species	04300386.kraken.report_bracken_species	04305449.kraken.report_bracken_species	04308139.kraken.report_bracken_species	04309194.kraken.report_bracken_species	04309311.kraken.report_bracken_species	04310832.kraken.report_bracken_species	04314361.kraken.report_bracken_species	04317291.kraken.report_bracken_species	04317814.kraken.report_bracken_species	04319023.kraken.report_bracken_species	04326807.kraken.report_bracken_species	04329230.kraken.report_bracken_species	04334129.kraken.report_bracken_species	04338633.kraken.report_bracken_species	04340362.kraken.report_bracken_species	04341107.kraken.report_bracken_species	04343001.kraken.report_bracken_species	04344404.kraken.report_bracken_species	04349732.kraken.report_bracken_species	04349960.kraken.report_bracken_species	04351041.kraken.report_bracken_species	04355035.kraken.report_bracken_species	04358531.kraken.report_bracken_species	04365141.kraken.report_bracken_species	04367376.kraken.report_bracken_species	04369157.kraken.report_bracken_species	04371211.kraken.report_bracken_species	04377934.kraken.report_bracken_species	04385959.kraken.report_bracken_species	04387348.kraken.report_bracken_species	04395079.kraken.report_bracken_species	04400008.kraken.report_bracken_species	04411900.kraken.report_bracken_species	04418978.kraken.report_bracken_species	04420190.kraken.report_bracken_species	04421441.kraken.report_bracken_species	04431428.kraken.report_bracken_species	04436496.kraken.report_bracken_species	04440522.kraken.report_bracken_species	04445654.kraken.report_bracken_species	04452150.kraken.report_bracken_species	04455340.kraken.report_bracken_species	04456369.kraken.report_bracken_species	04460328.kraken.report_bracken_species	04462298.kraken.report_bracken_species	04476756.kraken.report_bracken_species	04484004.kraken.report_bracken_species	04490648.kraken.report_bracken_species	04491047.kraken.report_bracken_species	04491186.kraken.report_bracken_species	04493221.kraken.report_bracken_species	04496787.kraken.report_bracken_species	04498261.kraken.report_bracken_species	04506172.kraken.report_bracken_species	04507071.kraken.report_bracken_species	04511403.kraken.report_bracken_species	04516025.kraken.report_bracken_species	04518288.kraken.report_bracken_species	04518534.kraken.report_bracken_species	04521131.kraken.report_bracken_species	04522566.kraken.report_bracken_species	04524780.kraken.report_bracken_species	04527346.kraken.report_bracken_species	04532526.kraken.report_bracken_species	04533422.kraken.report_bracken_species	04534972.kraken.report_bracken_species	04534979.kraken.report_bracken_species	04535328.kraken.report_bracken_species	04538625.kraken.report_bracken_species	04538992.kraken.report_bracken_species	04541005.kraken.report_bracken_species	04543638.kraken.report_bracken_species	04544177.kraken.report_bracken_species	04545705.kraken.report_bracken_species	04548584.kraken.report_bracken_species	04554167.kraken.report_bracken_species	04556568.kraken.report_bracken_species	04557869.kraken.report_bracken_species	04558599.kraken.report_bracken_species	04561334.kraken.report_bracken_species	04567587.kraken.report_bracken_species	04572653.kraken.report_bracken_species	04578377.kraken.report_bracken_species	04581464.kraken.report_bracken_species	04589910.kraken.report_bracken_species	04591234.kraken.report_bracken_species	04592846.kraken.report_bracken_species	04593796.kraken.report_bracken_species	04596228.kraken.report_bracken_species	04596602.kraken.report_bracken_species	04598494.kraken.report_bracken_species	04602361.kraken.report_bracken_species	04605132.kraken.report_bracken_species	04606279.kraken.report_bracken_species	04607346.kraken.report_bracken_species	04612165.kraken.report_bracken_species	04619540.kraken.report_bracken_species	04619576.kraken.report_bracken_species	04620654.kraken.report_bracken_species	04626789.kraken.report_bracken_species	04628230.kraken.report_bracken_species	04633400.kraken.report_bracken_species	04636619.kraken.report_bracken_species	04639956.kraken.report_bracken_species	04640961.kraken.report_bracken_species	04646394.kraken.report_bracken_species	04646521.kraken.report_bracken_species	04646821.kraken.report_bracken_species	04648309.kraken.report_bracken_species	04648763.kraken.report_bracken_species	04661057.kraken.report_bracken_species	04661590.kraken.report_bracken_species	04665456.kraken.report_bracken_species	04678058.kraken.report_bracken_species	04685008.kraken.report_bracken_species	04690466.kraken.report_bracken_species	04692437.kraken.report_bracken_species	04699242.kraken.report_bracken_species	04702164.kraken.report_bracken_species	04708628.kraken.report_bracken_species	04709588.kraken.report_bracken_species	04711233.kraken.report_bracken_species	04715133.kraken.report_bracken_species	04717973.kraken.report_bracken_species	04720599.kraken.report_bracken_species	04723429.kraken.report_bracken_species	04726056.kraken.report_bracken_species	04726095.kraken.report_bracken_species	04730867.kraken.report_bracken_species	04733301.kraken.report_bracken_species	04747370.kraken.report_bracken_species	04747762.kraken.report_bracken_species	04748955.kraken.report_bracken_species	04749930.kraken.report_bracken_species	04751079.kraken.report_bracken_species	04751937.kraken.report_bracken_species	04752418.kraken.report_bracken_species	04755264.kraken.report_bracken_species	04755762.kraken.report_bracken_species	04756983.kraken.report_bracken_species	04759084.kraken.report_bracken_species	04761885.kraken.report_bracken_species	04764462.kraken.report_bracken_species	04765398.kraken.report_bracken_species	04767389.kraken.report_bracken_species	04769824.kraken.report_bracken_species	04770892.kraken.report_bracken_species	04774937.kraken.report_bracken_species	04775318.kraken.report_bracken_species	04776184.kraken.report_bracken_species	04777424.kraken.report_bracken_species	04784090.kraken.report_bracken_species	04785218.kraken.report_bracken_species	04785959.kraken.report_bracken_species	04788520.kraken.report_bracken_species	04789443.kraken.report_bracken_species	04790462.kraken.report_bracken_species	04797413.kraken.report_bracken_species	04797503.kraken.report_bracken_species	04799655.kraken.report_bracken_species	04799828.kraken.report_bracken_species
216816	3140	7808	613	72406	1237	17029	1228	1534	4139	5417	5701	11772	963	666	72	7358	16249	12254	18989	565	3796	667	74	21088	289	3136	248	5561	1800	837	10654	19149	5726	10162	377	2093	8567	79	22917	2666	3864	4973	3398	140	4481	3724	6620	1171	53917	10044	2012	190	1554	135	2622	7617	2347	10086	8457	1962	2757	2259	1257	4807	10112	3007	12010	12212	39377	2414	1515	152	12197	46966	9386	8408	2593	3216	578	34215	5937	7672	1047	4704	4992	10645	207	1798	12346	1507	5805	5164	10001	13061	9083	2598	798	8959	5001	1814	10428	2938	31028	1895	57342	53	9796	258	1820	3679	3478	5422	993	12	3227	45846	16540	1284	937	31479	1179	11486	9811	41614	8194	22436	1945	727	1327	4699	19	21746	3674	3178	22	24220	11439	7400	179	3807	894	20423	11831	44300	2932	3109	61	5087	17	596	14299	3744	9451	24696	8890	8605	865	17	1483	783	18854	7035	3806	3113	7153	2875	4118	47161	14073	2001	14	5157	1126	23293	47	72	1129	5034	6590	504	5756	2852	1144	4320	2280	136	25782	74139	11687	1116	59	5142	6449	36456	7667	8841	1597	282	5385	2509	893	3997	768	12127	11480	712	1800	2150	11590	8270	16795	5217	55	596	6236	9826	15503	50846	850	33675	4091	7944	510	400	468	23	14344	38970	50062	13539	998	74474	1045	1734	3095	7801	868	2945	174	7135	10538	1502	4171	14941	13561	388	11233	6819
28026	6	4203	1148	13	83	319	44	10	13	151	60	131	92	11063	0	391	263	2101	11	4	82	1	47	0	11	725	44	551	730	19	1228	7	502	29	16	26	621	15	24	206	23	1742	318	897	960	129	2	2	7	258	17	3	1	12	79	2447	16	42	671	23	96	576	9	565	242	328	4867	207	8	21	86	13	6809	1269	10	327	2	953	193	15	9	82	1356	254	76	60	602	160	7753	11	87	0	205	7118	6	32	4144	1678	315	115	16265	118	3765	78	11	30	52	245	11	655	390	113	69	4	468	7	37	160	78	8767	904	6473	10	32	4587	15	34	15	226	42	2	1550	2124	967	1	10	650	57	58	1587	63	311	1071	5	1542	1740	16	13	0	0	3	951	5888	1792	331	134	38	1	28	26	200	3	3	95	1149	309	8	38	1834	0	0	39	17	6685	3	48	12	8406	29	78	1600	201	133	41	4	84	858	11	240	220	87	2	12	2780	84	3519	475	1257	730	198	3664	695	196	96	1228	443	2238	839	430	2215	549	1572	1	27	1	228	107	0	100	12	19	53	307	1400	188	13	32	10067	8	9	146	2	1	1039	82	1097	17013	7362	1802	1154	83	15	76	172	3768	9	518	689
1680	31	134	140	93	4926	27776	15379	2268	2377	12746	47166	58460	75154	417	58	92	32102	219	24	12	52155	5151	772	35	37	188	1574	12550	34	978	16104	119	18489	20780	265	13453	65	45523	8369	14096	14890	81	43	39	211	11043	37	10	174	5660	24346	17	13	2552	3319	119	217	39390	63	38316	5347	52	62	96	31620	42	135	40	286	12948	12995	1969	8255	102	12597	58	18	17729	15069	47	3698	30773	6028	48	5070	22	84	20493	765	24440	7473	23	27611	317	19	12381	20812	58	28321	7002	820	7293	306	4467	12	49	52416	1400	9324	112	9362	3559	5649	7	5063	36	51023	2878	3160	805	2773	195	54	79	25801	40	19639	321	625	32722	13	222	14701	32975	45	23	32266	13280	2762	65	794	3305	10021	40	159	19487	90	13623	4	2	39	26946	316	61	24920	54873	34809	14	10186	2796	36872	44174	5129	30458	105	22646	30	17517	64	21	8	2864	6369	487	59	2164	185	6457	18057	160	60730	27444	42	6387	24	566	45434	47	61615	22	10	14	10352	207	26307	15008	55	74	7327	2734	22603	1547	1859	41511	15942	3067	106	9015	10507	6967	76	111	32	6247	7	42	104	133	2218	67	34728	18756	5465	12672	8313	16	14491	2828	169	26	22304	22	18	93	12141	145	933	3394	173	100	40710	4276	23035	21425	6590	1628	45868	39
1686	2	865	589	120	140	1876	40	9	58	106	531	388	477	2693	9	170	108	454	17	3	209	41	16	40	5	317	20	236	139	10	397	4	437	298	131	28	296	295	86	1660	22	468	98	279	271	167	4	0	11	80	171	0	3	22	62	1482	17	206	223	227	49	126	7	150	1587	266	974	206	34	48	76	40	2801	354	73	117	11	448	201	42	37	72	433	118	156	23	262	156	2132	132	40	2	132	2079	12	194	1491	446	145	852	8831	120	2240	36	13	16	650	83	29	292	281	86	53	4	232	10	329	47	71	2658	264	1732	8	55	1644	3	117	16	99	234	3	682	925	414	5	8	288	84	16	454	203	136	374	50	722	421	26	54	37	2	7	680	981	344	373	706	98	13	31	51	132	480	12	373	349	557	6	257	583	17	1	39	23	2828	6	35	9	3650	218	19	368	433	83	67	5	27	707	51	557	62	23	83	132	883	296	1618	194	276	244	144	965	201	85	339	616	132	368	225	203	592	265	322	3	70	7	80	56	49	37	37	127	112	204	665	125	0	420	2767	27	292	101	60	1	1107	61	664	3423	2567	434	551	339	39	279	360	1031	29	288	184
1685	76	510	100	8297	49	453	68	60	98	133	308	191	61	2354	52	163	300	382	422	24	153	27	93	303	20	187	27	179	3751	27	337	4670	122	267	289	94	224	1890	569	145	54	169	126	125	125	115	130	22	2154	637	117	2	16	40	78	202	71	508	280	117	62	139	44	96	4840	281	265	256	993	57	87	45	270	2254	494	75	129	224	54	7815	261	119	44	46	107	192	215	173	1032	181	224	159	229	520	95	115	3484	157	145	70	774	121	868	92	3492	60	5928	138	62	132	65	198	42	10	157	671	122	42	50	627	56	505	193	23356	716	215	296	28	51	179	94	1440	204	217	14	168	228	168	25	158	290	4890	379	554	145	1341	23	115	41	38	305	213	1323	3501	220	217	67	16	51	32	283	349	58	283	201	156	109	339	576	3760	2	179	46	3055	34	30	39	1912	448	72	110	188	100	81	35	11	203	3876	331	155	75	49	140	671	169	435	299	233	288	80	589	147	86	256	481	45	139	149	176	275	288	216	59	74	100	230	726	1635	58	260	166	269	82	214	68	38	256	1265	14207	4025	65	641	20	246	80	176	378	175	234	200	350	50	120	199	753	26	350	233
1689	0	22	0	0	16	40	23	0	0	0	84	29	48	0	6069	29	0	0	174	0	0	16	0	2650	0	0	0	0	0	0	0	0	0	0	24402	0	0	21	0	0	0	0	0	0	150	11	3	0	28	0	11	0	410	0	0	703	0	0	0	427	0	0	0	0	56	0	0	0	586	0	14	0	0	281	0	0	1182	14	0	30	6969	0	0	0	0	0	0	0	0	0	0	0	32	8	0	66	0	0	21	7	171	689	0	0	502	0	1784	29	1324	8	0	555	0	0	16	0	43	0	0	53	0	25	0	3174	0	0	0	0	0	26	0	0	32	22	311	0	14	17	0	0	33350	0	11	0	0	32	10234	0	0	0	0	29	0	186	0	45	153	0	0	0	0	806	0	0	0	0	0	24	57	878	0	2912	0	13	567	0	1742	32	45	0	26	0	0	0	0	0	0	20	32	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	827	0	1363	0	0	0	2	0	0	3	0	10	206	0	0	0	16	87	0	0	0	763	0	0	0	0	27	15	401	0	14	0	25	66	23	0	278	0
1681	10	1115	50	12	29	2977	1931	38	28	1607	7383	5322	25	7631	4966	25	10786	3654	0	7	1608	328	16	14	7	1987	46	46	31	5	4802	19490	92	1498	44	77	582	185	63	1448	40	9389	5439	1017	41	1543	7	1	48	15858	2310	10	1761	26	1384	4194	11	33	2353	3259	1839	13	24	68	4525	1741	6211	52	9693	1545	67	17	7225	4564	25	343	7	60	29	33	30	4472	379	18	1731	8952	14	1395	8933	1808	619	710	6820	1003	3718	32	125	1277	144	134	252	55	20	33	2756	396	10208	22	3310	776	19	12	1015	3	51	5690	5743	27	2958	73	46	430	7	4432	9837	38	1435	156	14	2370	4	2305	2374	121	7650	1468	3046	71	17	2802	229	8065	27	31	57	3837	8	57	113	1372	32	7421	2381	4313	55	1447	1201	22	1555	1861	82	641	3	4836	22311	51	1965	6996	230	7771	1	40	143	149	18	8	220	5158	2850	14	114	72	21	1884	11	3	165	2363	191	7	220	3419	45	90	59	1952	8327	56	974	17	1495	949	10	6248	5250	32	28	3721	50	3645	27	38	12	2070	12	38	18	1387	6	175	7913	2928	91	90	20	17	1275	8963	34	7	3794	25	0	79	35	115	11450	161	15	58	281	532	2381	88	6320	504	18516	2266
1683	3	41	15	3	19	132	51	16	10	37	217	70	41	183	5	12	49	19	1	0	129	15	3	4	2	6	8	70	23	6	37	0	82	19	18	6	3	22	13	55	17	15	26	7	13	39	0	0	1	27	18	0	0	14	28	31	2	19	64	27	16	5	9	10	140	1	187	8	1	8	16	10	159	22	16	4	1	54	20	4	10	33	35	1	14	15	6	24	82	19	7	0	42	27	7	34	74	84	44	20	165	45	73	12	3	10	42	14	11	7	27	10	16	1	28	13	84	16	16	118	37	109	4	9	116	20	174	4	3	79	0	57	47	148	0	4	69	70	5	12	22	9	65	10	26	31	10	27	0	0	1	120	7	19	24	69	39	5	36	22	123	95	4	46	16	31	0	37	69	0	0	2	24	117	5	10	2	59	52	1	99	46	3	17	5	3	61	8	213	3	3	0	22	38	42	61	10	12	24	18	136	18	5	105	24	15	9	16	32	45	28	23	0	17	2	9	2	3	7	6	20	42	20	20	14	5	21	136	5	1	16	4	1	9	24	10	161	117	11	10	1030	15	36	107	105	15	42	2
158787	1	4	0	7	5	24	3	9	2	8	14	12	3	5	1	12	17	2	1	0	1	1	3	4	3	5	4	9	3	1	11	2	2	7	7	6	5	5	10	3	3	6	8	0	5	6	5	3	11	1	1	0	1	2	6	2	6	7	6	11	7	7	5	7	7	4	2	13	4	2	6	4	7	61	4	3	0	4	4	0	9	10	4	0	7	3	4	3	9	3	2	1	6	1	11	4	1	11	3	2	10	6	4	4	9	0	5	7	8	4	3	1	7	3	1	2	3	5	6	3	3	4	5	5	8	9	9	5	4	3	0	2	7	6	1	12	19	5	7	3	4	0	13	7	2	2	5	4	0	0	1	2	2	7	7	3	12	2	2	4	1	4	7	4	1	2	3	16	1	0	0	8	3	4	6	6	3	9	8	2	2	5	0	7	3	0	17	7	18	2	2	0	5	12	7	9	1	9	6	4	6	4	2	2	6	2	2	4	1	6	17	3	3	6	3	4	6	0	1	52	5	1	1	6	14	5	2	10	15	0	8	6	0	3	5	4	13	7	2	2	1	5	2	13	7	7	15	0
28025	2	5	2	4	4	152	10	2	0	6	14	320	86	19	0	5	4	5	0	9	22	50	1	4	2	13	3	3	30	1	5	8	5	16	48	3	26	5	6	4	3	967	5	2	2	2	47	0	1	0	5	13	1	4	5	5	1	1	6	22	4	4277	51	11	1143	6	7	3	828	7	1	2	142	4	39	1	0	29	1	1	105	144	0	3	5	3	2	10	8	4	0	4	8	477	38	5	6	8	29	5	11	51	15	6	1987	2	2240	6	4	35	7	3	17	3	108	4	20	2	3	15	3	13	1538	14	289	6	10	2	6	5	63	3	8	39	0	1	17	4	7	2	2212	5	3	2	0	6	1	1192	1	0	1	275	8	40	17	16	8	9	3	24	370	4	3	242	3	9	4	2	22001	6028	1185	11	4	1967	2	4	1	11	8	7	8	6	1	10	69	0	5	17	7	2	1	2	2	6	7	11	1	5	7	7	9	2	2	17	12	3	3	2	7	177	3	8	11	4	1	4	1701	3	1	2	12	46	1	7	9	1	9	8	1	1	13	4	2	6	6	4	3468	32	3	3	3	2	2	2	14	3	23	17
